Channel,MPH Code,PH Gender,Count of Policy/COI Number,Average of PH Entry Age,Average of Policy Term_Month,Sum of Premium,Sum of Sum Assured,Sum of Claim Amount,Count of Claims
SVOJBK0001,MONEMPH094,Female,417,43.02,14.7,102024.24,13872940,,
SVOJBK0001,MONEMPH094,Male,320,45.84,14.71,79948.09,10826230,,
SVOJBK0001,FAIRMPH089,Female,20,43.7,15,5017.5,910000,,
SVOJBK0001,SRGFMPH100,Male,81,33.28,15.05,39461.85,6625000,,
SVOJBK0001,SRGFMPH100,Female,15,37.4,15.07,5960,1020000,,
SVOJBK0001,HMAXMPH142,Female,53,42.98,15.17,12726.2,1900000,,
CREDDS0001,PRADMPH252,Female,110,35.65,15.44,43725,3314000,,
SVOJBK0001,TNCLMPH087,Male,7,37.86,15.57,6342,860000,,
SVOJBK0001,AQUIMPH095,Female,30,41.37,16,7825,1210000,,
SVOJBK0001,PRAHMPH037,Male,395,35.91,16.01,120827.3,17200000,30000,1
SVOJBK0001,HKARMPH074,Female,53,41.6,16.13,7810.66,1346000,,
SVOJBK0001,ANUSMPH287,Female,6,42.33,16.17,4003.6,589460,,
CREDDS0001,AKKIMPH254,Male,10,29.9,16.2,4130.83,844975,,
SVOJBK0001,GRAMMPH134,Female,1574,42.83,16.22,431277,78560000,40000,1
SVOJBK0001,SAATMPH020,Male,2443,36.76,16.36,528424.65,104155000,665000,10
SVOJBK0001,SAATMPH020,Female,2451,36.15,16.36,530871.65,104640000,400000,6
SVOJBK0001,FUTUMPH014,Male,8105,41.86,16.38,3226060.44,473425355,1883975,33
SVOJBK0001,SRLFMPH075,Female,431,36.02,16.39,89693.14,13701999,,
SVOJBK0001,HSAAMPH109,Male,319,36.15,16.5,84239.5,13339486,,
SVOJBK0001,ATMAMPH049,Male,16,36.44,16.5,5757.5,885000,,
SVOJBK0001,FUTUMPH014,Female,11136,40.61,16.68,4245406.83,617897992,778675,13
FINHBK0004,VARDMPH057,Female,51,38.1,16.71,30705.3,3662000,,
SVOJBK0001,PRAHMPH037,Female,208,37.49,16.71,69948.07,9182000,,
SVOJBK0001,HKARMPH074,Male,14,44.29,16.71,2776.91,487000,,
SVOJBK0001,HSAAMPH109,Female,514,38.71,16.75,148438.7,24315473,,
SVOJBK0001,HGOUMPH111,Male,15,41.13,16.93,14641.8,1503000,,
SVOJBK0001,VIBHMPH132,Male,634,37.75,17.03,132176.25,20245000,,
SVOJBK0001,VIBHMPH132,Female,661,37.08,17.04,138195,21145000,,
SVOJBK0001,GOLDMPH249,Male,9,34.11,17.33,2876.8,400000,,
SVOJBK0001,SANGMPH077,Male,140,40.01,17.41,61237.82,7430000,100000,2
SVOJBK0001,SREEMPH024,Female,177,40.34,17.49,91979.25,11654988,83337,1
SVOJBK0001,SANGMPH077,Female,160,37.68,17.5,66176.67,8010000,140000,2
SVOJBK0001,MAHAMPH035,Female,981,36.11,17.58,255907.06,45911700,,
SVOJBK0001,HGRPMPH048,Female,24,37.33,17.67,9770.95,1260000,,
SVOJBK0001,HGRPMPH048,Male,145,32.66,17.74,79395.55,10165000,,
SVOJBK0001,GOLDMPH249,Female,165,36.13,17.82,59392,7725000,,
SVOJBK0001,MAHAMPH035,Male,1015,35.77,17.82,295735.89,50071400,110000,3
SVOJBK0001,HGOUMPH111,Female,1,58,18,1105.5,110000,,
